CLID	Genes highly expressed in each subtype used for Gene Ontology	TCGA-02-0003-01A-01	TCGA-02-0010-01A-01	TCGA-02-0011-01B-01	TCGA-02-0014-01A-01	TCGA-02-0024-01B-01	TCGA-02-0026-01B-01	TCGA-02-0028-01A-01	TCGA-02-0046-01A-01	TCGA-02-0047-01A-01	TCGA-02-0048-01A-01	TCGA-02-0060-01A-01	TCGA-02-0069-01A-01	TCGA-02-0074-01A-01	TCGA-02-0080-01A-01	TCGA-02-0084-01A-03	TCGA-02-0087-01A-01	TCGA-02-0104-01A-01	TCGA-02-0114-01A-01	TCGA-02-0281-01A-01	TCGA-02-0321-01A-01	TCGA-02-0325-01A-01	TCGA-02-0338-01A-01	TCGA-02-0339-01A-01	TCGA-02-0432-01A-02	TCGA-02-0439-01A-01	TCGA-02-0440-01A-01	TCGA-02-0446-01A-01	TCGA-06-0128-01A-01	TCGA-06-0129-01A-01	TCGA-06-0146-01A-01	TCGA-06-0156-01A-01	TCGA-06-0166-01A-01	TCGA-06-0174-01A-01	TCGA-06-0177-01A-01	TCGA-06-0238-01A-02	TCGA-06-0241-01A-02	TCGA-06-0410-01A-01	TCGA-06-0413-01A-01	TCGA-06-0414-01A-01	TCGA-06-0646-01A-01	TCGA-06-0648-01A-01	TCGA-08-0245-01A-01	TCGA-08-0344-01A-01	TCGA-08-0347-01A-01	TCGA-08-0348-01A-01	TCGA-08-0350-01A-01	TCGA-08-0353-01A-01	TCGA-08-0359-01A-01	TCGA-08-0385-01A-01	TCGA-08-0517-01A-01	TCGA-08-0524-01A-01	TCGA-12-0616-01A-01	TCGA-12-0618-01A-01	TCGA-02-0089-01A-01	TCGA-02-0113-01A-01	TCGA-02-0115-01A-01	TCGA-02-0451-01A-01	TCGA-06-0132-01A-02	TCGA-06-0133-01A-02	TCGA-06-0138-01A-02	TCGA-06-0160-01A-01	TCGA-06-0162-01A-01	TCGA-06-0167-01A-01	TCGA-06-0171-01A-02	TCGA-06-0173-01A-01	TCGA-06-0179-01A-02	TCGA-06-0182-01A-01	TCGA-06-0185-01A-01	TCGA-06-0195-01B-01	TCGA-06-0208-01B-01	TCGA-06-0214-01A-02	TCGA-06-0219-01A-01	TCGA-06-0221-01A-01	TCGA-06-0237-01A-02	TCGA-06-0240-01A-02	TCGA-08-0349-01A-01	TCGA-08-0380-01A-01	TCGA-08-0386-01A-01	TCGA-08-0520-01A-01	TCGA-02-0007-01A-01	TCGA-02-0009-01A-01	TCGA-02-0016-01A-01	TCGA-02-0021-01A-01	TCGA-02-0023-01B-01	TCGA-02-0027-01A-01	TCGA-02-0038-01A-01	TCGA-02-0043-01A-01	TCGA-02-0070-01A-01	TCGA-02-0102-01A-01	TCGA-02-0260-01A-03	TCGA-02-0269-01B-01	TCGA-02-0285-01A-01	TCGA-02-0289-01A-01	TCGA-02-0290-01A-01	TCGA-02-0317-01A-01	TCGA-02-0333-01A-02	TCGA-02-0422-01A-01	TCGA-02-0430-01A-01	TCGA-06-0125-01A-01	TCGA-06-0126-01A-01	TCGA-06-0137-01A-03	TCGA-06-0145-01A-04	TCGA-06-0148-01A-01	TCGA-06-0187-01A-01	TCGA-06-0211-01B-01	TCGA-06-0402-01A-01	TCGA-08-0246-01A-01	TCGA-08-0354-01A-01	TCGA-08-0355-01A-01	TCGA-08-0357-01A-01	TCGA-08-0358-01A-01	TCGA-08-0375-01A-01	TCGA-08-0511-01A-01	TCGA-08-0514-01A-01	TCGA-08-0518-01A-01	TCGA-08-0529-01A-02	TCGA-08-0531-01A-01	TCGA-02-0057-01A-01	TCGA-02-0004-01A-01	TCGA-02-0006-01B-01	TCGA-02-0025-01A-01	TCGA-02-0033-01A-01	TCGA-02-0034-01A-01	TCGA-02-0039-01A-01	TCGA-02-0051-01A-01	TCGA-02-0054-01A-01	TCGA-02-0055-01A-01	TCGA-02-0059-01A-01	TCGA-02-0064-01A-01	TCGA-02-0075-01A-01	TCGA-02-0079-01A-03	TCGA-02-0085-01A-01	TCGA-02-0086-01A-01	TCGA-02-0099-01A-01	TCGA-02-0106-01A-01	TCGA-02-0107-01A-01	TCGA-02-0111-01A-01	TCGA-02-0326-01A-01	TCGA-02-0337-01A-01	TCGA-06-0122-01A-01	TCGA-06-0124-01A-01	TCGA-06-0130-01A-01	TCGA-06-0139-01A-01	TCGA-06-0143-01A-01	TCGA-06-0147-01A-01	TCGA-06-0149-01A-05	TCGA-06-0152-01A-02	TCGA-06-0154-01A-02	TCGA-06-0164-01A-01	TCGA-06-0175-01A-01	TCGA-06-0176-01A-03	TCGA-06-0184-01A-01	TCGA-06-0189-01A-05	TCGA-06-0190-01A-01	TCGA-06-0194-01A-01	TCGA-06-0197-01A-02	TCGA-06-0210-01A-01	TCGA-06-0397-01A-01	TCGA-06-0409-01A-02	TCGA-06-0412-01A-01	TCGA-06-0644-01A-02	TCGA-06-0645-01A-01	TCGA-08-0346-01A-01	TCGA-08-0352-01A-01	TCGA-08-0360-01A-01	TCGA-08-0390-01A-01	TCGA-08-0392-01A-01	TCGA-08-0509-01A-01	TCGA-08-0510-01A-01	TCGA-08-0512-01A-01	TCGA-08-0522-01A-01	TCGA-12-0619-01A-01	TCGA-12-0620-01A-01
Subtype	GO genes	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Proneural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Neural	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Classical	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal
CDKN1B	PN	1.251	0.8127	2.099	0.2565	1.495	-0.06608	1.277	1.727	0.9559	1.585	1.236	0.3182	0.5996	1.185	0.3984	-0.02551	0.895	1.12	0.1233	0.6036	0.218	0.8925	1.183	1.25	0.2641	1.147	0.2472	0.9754	0.5421	0.2336	0.9784	0.06437	1.134	-0.2016	0.2457	2.264	1.49	0.402	1.018	-2.44	0.4901	-0.1834	1.933	-0.9363	-1.782	0.3308	0.8099	-0.7147	0.06891	1.342	0.2924	1.306	0.9377	-0.4548	0.356	0.4263	0.2454	0.2304	0.3021	0.357	0.8812	-0.02331	0.3463	1.721	1.082	0.4311	-0.8362	1.828	-0.1052	0.8219	0.8413	-0.2136	1.031	-0.1253	0.8176	-0.03298	-0.06383	-0.5656	0.5089	1.538	0.8677	0.8019	0.495	0.8089	0.02637	-0.4592	0.04119	0.08261	-1.004	0.0734	0.06149	0.0661	-0.2263	0.8668	-0.2422	-0.8019	-0.3509	0.6234	-0.1194	-0.2177	0.4458	0.3052	0.1424	2.03	0.5511	0.7046	1.484	0.9332	-0.1196	0.4296	-1.757	-0.009156	-0.4039	0.3084	-0.3271	-0.1077	0.2014	1.014	-0.9713	0.2609	-0.8716	-0.8495	-1.276	-0.8087	-1.129	0.007678	-1.957	-0.4995	-0.541	-1.037	-1.825	-0.711	-0.6618	-0.4053	-0.7701	-0.7512	-0.4897	-1.778	-0.86	-1	-1.494	-1.339	-0.6162	-0.5731	-0.9842	-0.6047	-0.01577	-0.8774	-1.328	-1.745	-0.9083	0.6814	-0.7296	-1.289	-1.057	-0.8789	-0.2281	-0.1601	-0.7308	-0.9813	-2.051	-0.7082	-0.1729	-1.124	0.6269	-2.081	-1.725	-0.5221	-1.557	-0.5034	-1.36	-0.3294	-0.1153
EPB41	PN	0.2168	2.516	1.722	2.311	1.466	2.433	-0.1037	0.1324	0.3143	0.0321	-0.399	1.425	1.009	0.2046	-0.03551	1.138	1.755	0.8486	0.5939	1.343	0.8877	0.7255	-0.01655	1.437	0.2329	0.6379	-0.007547	1.345	2.484	2.55	0.2863	1.097	0.7029	1.031	0.6246	1.149	-0.3981	0.5603	1.356	0.9792	-0.547	0.3828	0.3193	-0.07305	0.6858	1.065	0.6983	1.374	0.1491	1.497	0.8797	0.8617	0.7535	-1.203	-0.1344	-0.7266	0.7865	0.478	-0.8675	-0.3085	0.2106	-0.2088	-0.05139	-0.1846	0.6256	0.0311	-1.633	-0.7612	1.261	-1.047	-1.082	-0.7683	0.4262	-0.1175	-0.5538	0.06764	0.7167	1.234	0.3051	0.9204	-0.505	-1.246	-0.4164	-1.01	-0.1779	-0.1172	-0.9009	-1.494	-0.5959	-0.1504	-1.578	-0.9919	-1.179	-0.1446	-1.952	-1.241	-2.728	-1.851	-0.9244	-0.2076	-0.3859	-0.497	-1.515	-0.004609	-1.664	-0.002128	-0.2906	-1.745	0.2623	-1.479	-0.4954	-0.2781	-0.6265	-0.9165	-0.5564	-0.5344	-1.245	0.8432	-0.9409	1.087	0.9337	0.2351	0.2978	0.02974	-0.7811	1.369	0.2007	-1.03	-0.007353	-0.5773	0.6737	-0.2089	-1.017	0.6951	-1.222	-0.4006	-0.7421	-0.6762	0.3299	-0.5732	-0.7151	0.4842	0.3567	-0.8869	0.8295	0.2816	-0.2042	0.2699	0.3909	-0.3646	0.06362	-0.2495	-1.079	-0.2388	-0.2227	-0.3069	-0.3226	-0.5508	1.654	-0.4113	-0.8292	-0.187	-0.2075	-0.8851	0.04634	-0.09592	-0.537	0.2289	0.9025	0.1162	-0.6491	2.062	-1.207
CLGN	PN	2.344	3.805	3.005	3.478	1.774	3.509	1.659	0.9656	1.9	2.873	3.299	-1.388	2.985	1.622	-0.004141	-0.4786	4.019	-0.5702	1.705	4.176	2.738	4.344	2.648	1.323	2.391	0.09872	4.204	3.411	2.55	3.128	4.242	1.694	2.898	1.248	2.31	1.698	2.109	0.5753	1.4	1.129	1.477	3.832	3.189	-2.272	1.662	2.941	-0.9122	-0.0526	1.224	2.652	2.7	2.644	3.859	-1.174	2.775	-0.9368	-1.713	0.004304	-0.9557	2.257	1.285	1.546	0.6956	-0.641	3.111	-0.2856	1.302	-0.5534	1.626	-1.626	-1.128	-0.364	1.424	0.1767	0.8474	0.1576	2.233	-1.942	1.389	5.151	-1.733	-1.059	0.1287	-0.5444	-0.288	-1.964	-1.823	-0.02767	0.1341	-0.789	-1.114	-2.545	-1.161	-0.7986	-1.073	-0.4551	-1.789	-2.188	-1.16	-1.6	-0.9328	-1.668	-1.432	-2.236	-1.419	-1.96	-1.405	-1.256	-1.519	-1.953	-0.5534	0.6562	-1.941	-2.06	-2.061	-2.124	-2.107	0.06021	-1.053	2.734	-0.918	-0.1127	0.3784	1.812	1.702	3.544	0.1052	1.653	-1.854	-2.48	-0.3247	-0.8534	0.459	3.889	-1.869	-1.079	-1.163	-0.2446	2.325	0.8044	-2.182	-1.261	-0.8551	-0.3191	-0.9035	-2.361	-1.126	-1.921	0.8563	-0.9003	2.242	-1.291	-0.9705	1.609	-0.7921	-0.8277	-0.5106	-0.7951	0.9775	-2.213	-1.276	-0.6983	-1.122	-1.317	-1.114	1.203	0.1713	-1.01	-0.1448	2.846	1.999	3.534	-0.9831
PDE10A	PN	1.211	2.93	3.134	2.02	2.922	2.603	1.968	1.841	1.807	2.623	0.009474	-0.7013	1.913	-0.2581	0.6458	0.2709	1.586	3.467	2.642	0.1489	0.5903	3.104	-0.103	-0.3747	0.8789	2.743	0.6359	2.24	2.604	1.697	3.05	1.485	3.563	-0.4271	2.137	2.807	2.843	2.242	-0.2617	-0.1244	2.805	1.292	1.246	2.653	-0.09654	1.732	1.808	2.931	2.121	0.5499	2.615	2.143	3.411	-1.042	0.115	0.8909	-1.477	-0.9325	-1.387	0.103	0.01115	-2.629	-0.07981	0.2264	-1.159	0.1859	-1.35	-1.661	-0.5017	-1.119	-1.074	1.536	0.5492	-0.866	-0.7244	-1.251	-0.8413	-0.9413	1.217	0.3253	-1.146	-0.3621	0.719	-0.4512	0.3916	1.485	0.206	2.42	-1.237	1.389	0.4858	-1.558	-0.8602	-2.185	-1.087	-0.2422	-1.591	-1.761	1.691	-0.3312	-0.5829	-1.551	2.263	-2.854	-2.209	2.431	0.3481	-0.3457	0.4186	-1.061	-1.109	0.05295	-2.639	2.845	-0.1216	-1.708	-1.767	0.0748	1.212	-0.482	0.07977	-0.1079	1.25	0.3744	-0.7951	-0.1344	0.1161	0.9015	-0.2989	0.8295	-0.4505	0.9723	-1.031	-0.5707	-0.7861	-0.6355	-1.621	-0.01835	-0.7326	-0.8326	1.744	-1.064	-0.6585	0.4222	-0.4979	-1.964	-1.088	-0.2501	0.7647	-0.9376	-0.3144	-1.242	-0.3403	1.118	-1.191	-0.6165	-0.685	-2.148	-0.6544	-0.4534	-1.347	-0.6121	-0.2672	-1.354	-0.3001	-0.7255	-0.39	-0.4437	-2.143	-0.4603	-0.4582	1.486	-0.2174
RALGPS2	PN	0.8402	1.275	1.726	1.337	1.759	1.217	0.7874	-0.2749	0.7758	-0.1512	1.341	1.441	1.552	1.19	0.577	0.8728	0.9698	-0.3368	1.164	-0.9296	1.642	0.8475	0.538	0.3684	0.7873	0.8717	0.1278	0.5531	1.047	0.6499	0.08067	1.123	0.5575	-0.0784	1.205	0.8294	0.5866	1.72	1.109	0.6977	0.1376	1.119	0.6287	0.5129	1.738	1.836	0.7834	0.3165	0.2442	0.5263	0.1629	1.101	0.9165	-0.4422	-1.109	0.1953	-0.1686	0.1388	-1.404	0.2435	0.0916	-0.1831	0.1383	-0.259	-0.07171	0.3975	0.1469	0.02903	-0.05098	-1.007	-1.306	-0.2288	0.03499	-0.7864	-0.2722	-0.9509	1.72	-1.449	-0.3194	0.2251	-1.504	-1.407	-0.4083	-1.491	0.2582	0.2648	0.1221	0.442	0.4572	0.05578	-0.5989	-1.08	0.2229	-1.32	-1.556	-1.067	-2.077	-1.27	0.7049	-0.995	-0.7116	0.2381	-1.456	-2.047	-0.3232	0.2622	-0.488	-0.8519	-0.9135	-0.03974	-0.34	1.175	-1.64	-1.145	-1.588	-0.372	-0.9608	-0.4181	-0.2986	1.078	0.4518	0.4687	0.4361	0.2539	0.008544	0.2651	0.04934	-0.277	0.9635	-0.9293	-0.8316	-0.6135	-0.5261	1.269	-1.801	-0.1443	-0.7002	-0.2009	0.06053	-1.182	-0.2274	-0.4311	0.1757	1.223	-0.1584	-0.4399	-0.002309	-1.359	-0.2883	-1.122	-0.3381	-1.121	-0.9495	0.2134	-0.2847	-1.056	-0.7897	-0.8372	0.8681	-0.7865	-0.3422	-0.1319	-0.7498	-0.2032	-0.3732	-0.3036	0.3931	-0.4521	-1.085	-0.3201	-0.5923	-0.6235	-0.5758
TAF5	PN	0.9178	2.194	0.1435	2.624	1.797	2.918	2.884	1.152	1.35	0.3125	1.671	2.256	0.6579	0.1677	-0.5851	-0.7112	1.154	2.243	1.127	-0.2993	-0.5538	3.561	1.953	1.609	-0.5232	1.02	1.644	-0.2826	1.08	0.694	1.294	0.9176	1.828	0.695	-0.9755	1.85	0.8928	2.265	1.448	0.4333	-0.07698	2.26	1.816	-0.3318	-0.3661	1.164	0.9756	0.1452	1.307	3.215	2.3	0.5563	0.5389	-1.974	-0.5815	-0.5662	-0.4241	-0.04439	-1.496	-1.372	0.6372	-0.6918	0.3094	-0.03627	0.3655	0.3571	-0.8047	-1.174	0.1492	-0.7135	0.2519	-0.768	0.6268	0.2801	-0.1752	0.01405	-0.9167	0.5892	-0.845	0.1845	0.7757	-0.6014	-0.1759	-0.7978	0.7043	-0.6459	0.1291	-0.9512	-0.1037	-0.7369	-0.3705	-0.833	-0.9265	-0.2397	-0.6709	-1.012	0.2354	-1.099	-0.6482	-0.7628	-1.358	0.1659	-1.092	0.4422	0.08028	0.128	-0.6693	-0.6698	-0.2029	-0.2261	-0.6095	-0.6893	-0.9342	-0.2489	-0.1594	-0.007566	-0.4063	-0.8526	-0.9035	-0.3708	0.2298	0.348	-0.5556	-1.148	1.243	0.7471	0.2935	-0.1959	-0.363	0.5124	-0.766	-0.411	-0.6483	-0.2289	0.3031	-0.4328	-0.3695	-1.029	-0.2894	-1.557	-0.7703	-0.1995	-0.2105	-0.6741	-0.1679	-0.3862	-1.056	-0.953	-0.5861	0.4323	1.553	-0.692	-0.3996	-0.2067	-1.221	-0.09175	-0.9421	-0.3205	0.04232	-0.05387	0.3423	-0.1023	-1.221	-0.5068	-1.278	-0.5929	-0.6518	-0.7586	-0.4408	0.1954	0.6023	0.6332	-0.8239
ACTR1A	PN	0.9101	0.4676	0.565	0.9603	1.339	0.6689	0.978	0.3835	1.814	-0.07717	0.7122	0.8985	0.9007	0.4021	0.4529	0.7726	-0.09616	2.614	0.6324	0.04506	-0.7783	1.187	0.6667	0.8161	-0.4149	0.5325	0.225	0.7601	0.3068	-0.08983	0.3493	0.3337	0.6754	0.3158	-0.05106	0.436	0.9184	1.163	0.4263	-0.1354	0.3599	0.5494	1.1	-0.01735	0.7557	1.219	-0.006217	0.7592	1.666	1.773	0.7757	0.2825	0.5893	-0.267	0.8844	0.3259	0.03464	0.09159	-0.8074	-0.5345	0.5663	0.3546	0.6088	-0.3475	-0.2425	-0.1432	-0.4648	-0.73	-0.07152	-0.3889	-0.03881	-0.3467	0.4996	0.176	0.3218	-0.07354	-0.7747	0.2	-0.2888	-0.7187	-0.79	-0.879	-0.2402	-1.485	-0.1068	0.1879	-0.3863	-1.287	-0.1076	-0.2778	-0.7135	-1.055	-0.6948	-1.103	-1.253	-0.7178	-0.6571	-0.9241	-0.6793	-1.079	-0.4054	-0.3761	-0.619	-0.7168	-0.3365	-0.6076	0.07104	-0.3938	-0.925	-0.2699	-0.8893	-0.5537	-0.286	-0.5712	-1.277	-0.4853	-0.06865	0.2334	0.3219	0.08509	-0.01251	-0.3454	0.3135	-0.654	-0.03627	1.043	-0.01945	-0.4972	0.108	-0.5866	-0.7011	0.2237	0.3706	-0.1833	-0.2755	0.01217	0.2893	0.04917	0.461	-0.8685	-0.8452	-0.3746	-0.3039	-1.104	0.1877	-0.933	-1.016	-0.6243	0.02325	-0.484	0.3486	-0.6517	-0.504	-1.086	-0.4061	-0.2769	-1.326	0.6462	-0.5199	-0.7891	-0.4039	1.062	-0.8998	-1	-0.5168	0.09515	-0.7975	-0.1176	-0.1475	-0.676	0.2269	-0.4543	-0.3184
PELI1	PN	1.858	0.9499	1.401	1.467	1.272	0.2392	-0.6687	1.839	1.643	0.5778	0.7374	1.879	1.008	0.3429	0.427	2.03	0.4216	0.949	1.495	0.271	-0.05176	0.8285	0.9422	1.759	0.7587	1.1	0.387	1.713	0.8423	0.4131	0.7674	1.528	1.889	0.005642	0.9359	1.304	0.8466	1.404	1.052	0.1093	0.8619	0.4131	1.227	-0.367	1.295	0.2943	0.7669	0.3747	1.542	1.293	0.1212	0.7095	1.639	0.4539	-0.3561	-1.114	-0.613	0.6206	1.09	1.278	0.05096	-0.86	-0.1033	0.6002	-0.2047	1.084	0.3873	-0.8559	0.03814	0.7619	1.057	-0.1473	0.7792	-0.1122	-0.0008773	-1.114	0.371	-0.7852	-2.035	-0.6012	-1.59	-1.123	-0.3211	-2.837	0.6387	0.4349	-0.3451	-0.8729	-0.5157	-1.126	-0.7162	-0.7607	-0.4357	1.013	-0.6963	-2.003	-1.34	-0.3958	-0.8022	-0.5513	-0.003806	-0.9989	-2.475	0.06745	-0.8923	-0.03322	-1.042	-1.885	-2.221	-0.7928	-1.658	0.4179	-1.272	-0.5108	-2.625	-1.135	-0.8073	0.1518	-0.7715	0.2582	-0.836	-0.1786	-0.6139	-1.198	-1.308	-0.7722	-0.2797	-0.4552	-0.5337	-0.2785	-1.249	-0.1387	-0.4047	0.5421	-0.9526	-0.4306	-0.7359	-0.4248	0.9267	-0.6101	-0.1207	-0.3544	1.062	0.02266	0.7143	-1.093	-1.077	-1.687	0.06887	-1.357	-0.745	0.9557	0.04227	0.9854	-0.6828	-0.106	0.05853	-0.7167	0.05082	-0.3879	-0.6708	0.2054	-0.4799	-0.6792	-0.8323	-0.6124	0.4703	0.1396	-0.6215	-0.07831	-0.8265	0.3132	-0.5079
ZNF804A	PN	3.37	3.768	2.848	1.911	1.025	2.703	-0.808	3.467	1.692	-0.6241	1.428	1.851	3.601	4.225	1.374	1.041	2.283	1.599	1.029	-1.031	2.291	1.29	0.8406	1.885	0.1794	-1.197	0.7992	4.417	3.586	4.485	3.191	1.243	0.3831	0.5235	1.987	0.613	0.2984	1.409	1.468	-1.09	2.353	1.202	2.582	0.1325	2.371	4.521	2.147	3.44	1.293	-0.7543	3.261	1.68	1.757	-0.1107	-0.2009	-0.4659	1.984	1.082	-0.009202	0.2535	1.555	0.5187	1.312	-0.8615	-0.7073	-0.1661	-0.1784	0.2168	2.083	-0.889	2.221	-0.09482	0.8403	-0.3254	0.6783	-0.5232	0.8508	-0.4134	-0.9399	-0.6425	-0.6489	-0.4936	-1.275	-0.7317	1.553	-1.283	-0.5507	-0.6457	1.888	-1.035	-0.3826	-1.239	-0.4471	-1.095	-1.161	-0.7758	-0.7232	-1.562	-0.8119	-0.3698	-0.3734	-0.3467	-0.7302	-1.018	0.9877	0.7353	-1.343	-0.9042	-0.8273	-0.5084	-0.2372	1.744	-1.367	-0.5878	-1.079	-1.202	-1.057	-0.1647	-0.2759	1.522	-0.1427	0.2543	1.34	-0.3109	-0.5293	-0.6783	0.09758	-0.2094	-0.6541	-1.373	-0.2318	-0.4707	-0.2981	-0.6549	-0.692	0.409	-0.7829	0.2282	0.02948	0.33	-1.764	0.8494	0.04723	-0.2448	-0.1681	-0.7439	-0.4378	-1.264	-0.2083	-0.7635	0.2383	-0.639	-1.022	-0.1779	-0.7132	-0.1782	0.7993	0.1991	-0.02404	-0.7962	0.9767	1.221	0.2619	-0.5392	0.9129	-0.5222	0.02101	-0.08599	-0.405	0.5535	1.319	-0.198	-0.9077
